k,E_ux,E_uy,E_uz
95.0,0.43621846099830675,0.44094781580433096,0.44239440734787083
96.0,0.4380069936111991,0.44027914128420836,0.4405795158169625
97.0,0.42683866120563213,0.4276431986844413,0.4301066649874804
98.0,0.4253941321465313,0.4203632555325983,0.42501200173412046
99.0,0.4060613452215981,0.40774436299443195,0.4089315930570234
100.0,0.4040070149081256,0.40388767279991405,0.40455990163886835
101.0,0.3937461774248627,0.3950324400896711,0.3960568081185923
102.0,0.3890240766951157,0.3890156440780615,0.3915123659110867
103.0,0.3829714359481291,0.38281708117743557,0.3838237635053474
104.0,0.36682415144651537,0.3692743732706053,0.36865541323499723
105.0,0.3734114120753,0.3698799578937672,0.37335216686773226
106.0,0.35896021875856093,0.3603247960180979,0.36137317434904165
107.0,0.35099801750267096,0.35367827292997456,0.3538915958236332
108.0,0.3486398628670932,0.3482415153033896,0.3513042339329644
109.0,0.3458361051229898,0.3449915555888356,0.34384706506607926
110.0,0.3363434474371549,0.33702600237962604,0.3376803375383915
111.0,0.32860656145705386,0.3281472352053352,0.32869410465589227
112.0,0.326163208479131,0.3236024288439811,0.327041729276897
113.0,0.32118456855738786,0.31956449670118264,0.3214879955296736
114.0,0.3164637743624079,0.31593250430674336,0.3164041831849221
115.0,0.3066622122172027,0.30846141075951977,0.3060245722104754
116.0,0.3051250317512053,0.3070073109064147,0.30541492623181604
117.0,0.30130760720438543,0.30213391680608237,0.30145203907271173
118.0,0.2920382197975789,0.2928530170398576,0.2953520948152885
119.0,0.28812429294212705,0.28778598399903854,0.29014057078465305
120.0,0.2880270965449488,0.2874472803270593,0.2863085698872914
121.0,0.2828006818536539,0.28311229070067706,0.2833196974194109
122.0,0.2777387893336397,0.2789810931641471,0.2781822127192551
123.0,0.2718838955233882,0.2731377252965492,0.2728104143345544
124.0,0.2673782655636675,0.2679496388792652,0.26718177599093146
125.0,0.2680367258592084,0.26818112441440217,0.2664971739234367
126.0,0.25847224007327957,0.25974189251818003,0.2596027646045402
127.0,0.25608586700453945,0.2565518494836952,0.25681448661621187
128.0,0.25186555220800855,0.25399800853929577,0.25413385561903573
129.0,0.25248243417617533,0.25237578577748176,0.25084270688489996
130.0,0.24620099943704424,0.24541507459165035,0.24505199274927944
131.0,0.24068302831718025,0.24180019090450833,0.2408339075710283
132.0,0.24258511754416026,0.24186748902262517,0.24170817701593825
133.0,0.2366647641646917,0.23591220768684498,0.234818653968677
134.0,0.23303982710560836,0.23450817917724537,0.2329819882769111
135.0,0.2282292601769459,0.22810298836068763,0.22879913604170068
136.0,0.22720262197657973,0.22667131561142775,0.22686914023155647
137.0,0.2246884884851142,0.22540448883795916,0.22485297113378033
138.0,0.2197282889214247,0.21954970759318562,0.22086352892419964
139.0,0.21664235173270915,0.21690904658354976,0.21628623241548456
140.0,0.2152079408937251,0.2161855090103672,0.21498631570159502
141.0,0.21276438753466817,0.21315220577634808,0.21140038230157115
142.0,0.20965560256553079,0.21133091633034506,0.2101896231264525
143.0,0.20420557201371176,0.20494082261099875,0.20442908396470183
144.0,0.20440285214032425,0.20540372340823945,0.20377773511498753
145.0,0.20180389212546587,0.20255211228798972,0.20105301805801795
146.0,0.19970408032352266,0.20110622276261217,0.19956928725677564
147.0,0.19715339780955654,0.19731570831973844,0.19591772167444102
148.0,0.19496508185082145,0.194804327968368,0.19442443348839394
149.0,0.1923766062430212,0.19399494669373327,0.1925535601680357
150.0,0.18947018048295808,0.18995868212780379,0.19149125777982373
151.0,0.18656253907592651,0.18704949111085453,0.1867151590716228
152.0,0.18502642682339343,0.185803028773284,0.18494554080576595
153.0,0.18328726981655855,0.18410872787553795,0.18385476395706105
154.0,0.18200105334887193,0.18348624896264187,0.18167327088233712
155.0,0.17840475252463933,0.17790968106570224,0.17776110384700877
156.0,0.17740249996599858,0.17747091384062155,0.1760235492874839
157.0,0.1761188755595675,0.17669354440580587,0.175954384641285
158.0,0.17250876400055565,0.17390782721770084,0.17291879741692553
159.0,0.1703560059783848,0.1708142850271486,0.17032823572632533
160.0,0.17061095453750347,0.17030709920452566,0.1694579377018699
161.0,0.1691380668567028,0.1701514235406446,0.16887614815502267
162.0,0.1646576576331223,0.16572317797105196,0.1651946322410891
163.0,0.1649276047257002,0.16529157694005,0.1657169068123387
164.0,0.16125842011108985,0.16216842986285246,0.16151089992235526
165.0,0.1625617508896767,0.16255328843448294,0.1616271854802697
166.0,0.15847817760191696,0.15911484808692233,0.15771357094554958
167.0,0.15839748779084467,0.1589866085425647,0.15856576893317192
168.0,0.1564362252783694,0.15673934873707887,0.15653554595343255
169.0,0.15433712572521952,0.15544094186421964,0.15406413235449887
170.0,0.15459906663011772,0.15481520570825538,0.154483995749345
171.0,0.15063088004669878,0.15134967173061892,0.15141519330140496
172.0,0.14963038148746283,0.1514233187421284,0.15077714137336184
173.0,0.14802704535390523,0.15067115294070288,0.14895592670166413
174.0,0.1479363308561994,0.14872949713170475,0.14913615544226128
175.0,0.14507232187872135,0.14612275669291933,0.14565285119890375
