k,Ek
118.0,3.780342755902503
119.0,4.040774693564675
120.0,4.250861878408994
121.0,4.115556652778692
122.0,3.7458246335910053
123.0,4.031280252620441
124.0,4.180469620352928
125.0,4.005026851735415
126.0,3.5811060702656707
127.0,3.7543714219823277
128.0,3.9965292070047584
129.0,3.8442309610511387
130.0,3.5171589297244608
131.0,3.8005309676391086
132.0,4.117318760710421
133.0,3.7024695547004747
134.0,3.5045064744815226
135.0,3.6409708648726737
136.0,3.7581265344365526
137.0,3.6360264835145566
138.0,3.37424662977874
139.0,3.5768529116569074
140.0,3.715629235939553
141.0,3.5553784269034807
142.0,3.27051564429091
143.0,3.385385097340449
144.0,3.548504975327924
145.0,3.4567182071206757
146.0,3.1379372817655105
147.0,3.4449011285703315
148.0,3.59173715767265
149.0,3.3200305960402723
150.0,3.159648958231516
151.0,3.3115212602893127
152.0,3.4508334993355785
153.0,3.282093873532324
154.0,3.069579679301532
155.0,3.273856994975853
156.0,3.4254907116955398
157.0,3.254558180814984
158.0,3.0007512600221857
159.0,3.1633967328018175
160.0,3.372365745973673
161.0,3.135123241144678
162.0,2.8901332136117586
163.0,3.138482910997711
164.0,3.246376746285836
165.0,3.0834983340019506
166.0,2.8644003049059465
167.0,3.006705310348397
168.0,3.2563851167170084
169.0,3.0475039374985236
170.0,2.8564806844386545
171.0,3.0307548954687538
172.0,3.244896299078569
173.0,3.00868268441629
174.0,2.8247903134284575
175.0,2.968853109472985
176.0,3.209996922502595
177.0,2.949067862122792
178.0,2.8008562568237836
179.0,2.929098338240496
180.0,3.10317119388051
181.0,2.921696803254325
182.0,2.751645125687812
183.0,2.8888717984298724
184.0,3.0895697562939977
185.0,2.9112734327159773
186.0,2.6915080043611814
187.0,2.881763557096264
188.0,3.0672410205276477
189.0,2.8774656108620604
190.0,2.70791718118014
191.0,2.871602175175311
192.0,3.041744158829861
193.0,2.841776703344674
194.0,2.7169527577907786
195.0,2.8798087775805095
196.0,2.972874272312703
197.0,2.8464531542322478
198.0,2.7104795648602256
199.0,2.827449038982595
200.0,2.9481794785151894
201.0,2.798912549006643
202.0,2.683150059132
203.0,2.818984944824538
204.0,2.929346587573944
205.0,2.804424061792414
206.0,2.7164802622929556
207.0,2.8092778450416565
208.0,2.9487905384136366
209.0,2.796936941120634
210.0,2.7250785092882643
211.0,2.8706562089782315
212.0,2.9080493140508916
213.0,2.829826891381258
214.0,2.756565066907127
215.0,2.8405885582507913
216.0,2.9508598258988563
217.0,2.8033094105801344
218.0,2.7144499180116886
219.0,2.863713379645982
220.0,2.877991589203484
221.0,2.7952011079347017
222.0,2.73108097256227
223.0,2.8756101574105037
224.0,2.9557888728457042
225.0,2.7993217426216463
226.0,2.782402574975908
227.0,2.920381220143127
228.0,2.9118687793303284
229.0,2.8497788546359577
230.0,2.834701584976261
231.0,2.9179924335620715
232.0,3.0314195619634576
233.0,2.8867981444418924
234.0,2.8366561143022087
235.0,2.945470699890723
236.0,2.9815866501230515
237.0,2.8684793891590843
238.0,2.8467437547012353
239.0,2.989541552277489
240.0,3.02803613885674
241.0,2.9059175523924607
242.0,2.910260866719188
