k,Es1,Es2,Es3
157.0,0.00016976035465786774,0.00017155465455700517,0.00017148454757985612
158.0,0.00016535246398882497,0.00016739326450394726,0.00016580589445334764
159.0,0.00016091586217811975,0.0001624163465024319,0.00016154656789981844
160.0,0.00015759327318075485,0.00015940356150070562,0.00015810151488398246
161.0,0.00015588885691621165,0.00015713072621755583,0.00015591309780663392
162.0,0.0001501349514395266,0.0001510922744295928,0.000149612766573215
163.0,0.00014710291237879334,0.00014843287283147175,0.00014763527305241902
164.0,0.00014290174041351253,0.00014337980710537652,0.00014259532420884093
165.0,0.0001402249104479669,0.00014212783247702054,0.00014069136038811087
166.0,0.00013536173313579463,0.00013685718864233796,0.00013556978394275152
167.0,0.00013379698405619272,0.00013523303146524012,0.00013379607422168968
168.0,0.00013022167813436138,0.0001310654067188357,0.00012987462065337799
169.0,0.00012721012625321412,0.00012839270909597997,0.00012717273137009014
170.0,0.0001253764600829835,0.00012653827899954318,0.00012598532220460561
171.0,0.00012076279591753015,0.00012226001365466533,0.00012108775313528168
172.0,0.00011853984263850504,0.00012011857887159858,0.00011900606153181024
173.0,0.0001166621981541392,0.00011734533225964792,0.00011666701527190342
174.0,0.00011387041466235597,0.00011525415348297154,0.0001144257098337252
175.0,0.00010958085465943596,0.00011190288274989583,0.00011082161895661529
176.0,0.00010874049986685164,0.00010980757184755074,0.00010934050781442394
177.0,0.00010661930459663695,0.00010737722446666841,0.00010654590392098773
178.0,0.00010488435316316768,0.00010479368362137707,0.00010441635314048387
179.0,0.00010183121725804785,0.00010260668333339128,0.00010163953053660913
180.0,9.93281071205044e-05,0.00010042194924423163,9.967887708302882e-05
181.0,9.728246214223919e-05,9.830810343937121e-05,9.776496597924155e-05
182.0,9.491430686818796e-05,9.584084845977651e-05,9.509692969603692e-05
183.0,9.313821275776216e-05,9.430697318595543e-05,9.356464389795928e-05
184.0,9.127256344317612e-05,9.185576359386997e-05,9.142952721044989e-05
185.0,8.927769671728637e-05,9.027540799055013e-05,8.966591758190242e-05
186.0,8.712337454990021e-05,8.804926495012256e-05,8.740798829783694e-05
187.0,8.546800135927435e-05,8.6399929885182e-05,8.589084657966231e-05
188.0,8.389976440252578e-05,8.490621708256878e-05,8.420566355443995e-05
189.0,8.218022475720988e-05,8.302076043141139e-05,8.218989133372792e-05
190.0,8.007339780204549e-05,8.050803728159243e-05,8.020850462770349e-05
191.0,7.906918087272733e-05,7.978208384501247e-05,7.91335418591803e-05
192.0,7.706410448978212e-05,7.78512351530089e-05,7.751914966562558e-05
193.0,7.544309833800442e-05,7.608399170396822e-05,7.54346165604144e-05
194.0,7.42621795525037e-05,7.520910508315899e-05,7.468617734323337e-05
195.0,7.268109152713292e-05,7.296115791536547e-05,7.258911823890965e-05
196.0,7.131510559154044e-05,7.209383088716322e-05,7.144985954167633e-05
197.0,6.96389205435738e-05,7.03471278327577e-05,6.984081383114978e-05
198.0,6.856623701668458e-05,6.917213638835243e-05,6.851624253221703e-05
199.0,6.684839459486889e-05,6.772634016537077e-05,6.706304114631745e-05
200.0,6.564904814748754e-05,6.628319177185499e-05,6.567210134202167e-05
201.0,6.431329755968577e-05,6.511386861965493e-05,6.460359907619037e-05
202.0,6.316992321035076e-05,6.391404240176805e-05,6.349230577301588e-05
203.0,6.162849391775355e-05,6.230522005768291e-05,6.20972074594274e-05
204.0,6.0772873413816125e-05,6.116510532663527e-05,6.087869757946959e-05
205.0,6.002675459984327e-05,6.045963703602307e-05,6.0118527548689794e-05
206.0,5.822397561307857e-05,5.859627774255059e-05,5.818422495472916e-05
207.0,5.7211401980330585e-05,5.7666875265678606e-05,5.7593051721447386e-05
208.0,5.63482904852424e-05,5.68732878468244e-05,5.6746032433495493e-05
209.0,5.550161454105843e-05,5.601284513634751e-05,5.5639057399720163e-05
210.0,5.4145341866487224e-05,5.479219221886952e-05,5.4303647979356436e-05
211.0,5.310221511790974e-05,5.353760527431767e-05,5.317129916478077e-05
212.0,5.221236057151653e-05,5.273370037485058e-05,5.2268995089406154e-05
213.0,5.1329981998323467e-05,5.181564580164358e-05,5.119034318610168e-05
214.0,5.044979736348881e-05,5.098354664779017e-05,5.0645773461005686e-05
215.0,4.920403458362959e-05,4.9795474466700114e-05,4.9233454037213264e-05
