k,Ek
174.0,1484.7000083776609
175.0,1491.4466918524765
176.0,1506.6590489196544
177.0,1531.2067936472563
178.0,1552.3020023250117
179.0,1566.6651827388553
180.0,1587.4328585345768
181.0,1606.9207525870465
182.0,1619.7129786798619
183.0,1637.264204033814
184.0,1654.4722428655114
185.0,1678.9834190616339
186.0,1692.260234942705
187.0,1713.942873783757
188.0,1732.7807250326143
189.0,1740.9104179540839
190.0,1753.4629266567401
191.0,1784.9828474500607
192.0,1801.373628411303
193.0,1814.9314060427228
194.0,1842.211286295294
195.0,1861.6963201933077
196.0,1887.2639259457064
197.0,1898.4177244915354
198.0,1915.8751629410808
199.0,1930.3171790975737
200.0,1953.6740760184089
201.0,1977.6193943329274
202.0,1996.3211236043273
203.0,2014.674891149712
204.0,2040.592232888432
205.0,2063.0873242491716
206.0,2075.088011894191
207.0,2108.6867682863603
208.0,2140.277102220019
209.0,2155.262027661543
210.0,2174.878766849467
211.0,2190.4663083923297
212.0,2222.1305232820514
213.0,2244.018231112022
214.0,2263.5894320852967
215.0,2272.3358644183677
216.0,2308.805831213059
217.0,2332.8551851306565
218.0,2346.917792905309
219.0,2375.469663425537
220.0,2394.4114072622
221.0,2431.2689990536123
222.0,2437.7180036854265
223.0,2470.7142900543026
224.0,2477.6300944093405
225.0,2526.902472771651
226.0,2552.727300408508
227.0,2561.416314765361
228.0,2599.124086069693
229.0,2620.276194681783
230.0,2641.9367056844762
231.0,2657.460654159871
232.0,2705.5013621207518
233.0,2726.5459326209398
234.0,2762.419006248801
235.0,2756.661330474583
236.0,2809.2098678049806
237.0,2831.1746661758316
238.0,2851.2850912410217
239.0,2889.8168943329633
240.0,2903.0938590718984
241.0,2944.604453934039
242.0,2968.6544359757477
243.0,2988.452847857601
244.0,3036.4242248782148
245.0,3047.32693120022
246.0,3080.6237528811785
247.0,3096.71169153926
248.0,3134.9842170568363
249.0,3173.8292706989373
250.0,3190.517708519585
251.0,3221.3079979772842
252.0,3270.654413116557
253.0,3296.022516713297
254.0,3315.6809374082777
255.0,3335.997057199568
256.0,3142.8581762958797
257.0,2824.6273397080613
258.0,2748.437030633647
259.0,2712.764240783378
260.0,2680.879246798114
261.0,2672.73688117779
262.0,2642.520107712119
263.0,2631.9030852610163
264.0,2611.106575923429
