k,E_Jx,E_Jy,E_Jz
219.0,7.442014493293312e-64,1.4581786327347833e-63,1.6477975416028242e-63
220.0,7.406411225329602e-64,1.4382371769395006e-63,1.619543203092367e-63
221.0,7.533298460316081e-64,1.4809725415186544e-63,1.6416583098309426e-63
222.0,7.488899772336824e-64,1.4536820302612963e-63,1.6072272829889222e-63
223.0,7.532503567651749e-64,1.4451636456378853e-63,1.5885277743424796e-63
224.0,7.478867570257454e-64,1.452385381746665e-63,1.6018018539907812e-63
225.0,7.644974600651281e-64,1.451694385945107e-63,1.5867983842132137e-63
226.0,7.677258495382406e-64,1.4737972184675438e-63,1.5999364603156615e-63
227.0,7.711734046653854e-64,1.4495502920626403e-63,1.5536122511387495e-63
228.0,7.706379172081222e-64,1.4462904943455728e-63,1.556001920061333e-63
229.0,7.784757554973653e-64,1.4590558742362845e-63,1.5554043291777573e-63
230.0,7.79457812193573e-64,1.4493180307656352e-63,1.5309448613172938e-63
231.0,7.784879540486852e-64,1.4599256728930632e-63,1.5426333026403325e-63
232.0,7.881220529151511e-64,1.4574073476422597e-63,1.5306968715487622e-63
233.0,7.923383215372425e-64,1.4505318277487e-63,1.512610260498155e-63
234.0,7.962238807109637e-64,1.46705283312747e-63,1.5330501383707091e-63
235.0,7.949418152421667e-64,1.442093947077812e-63,1.4984765141479895e-63
236.0,8.056452710917832e-64,1.4690435276240055e-63,1.5131646348928803e-63
237.0,8.115381341013926e-64,1.4524231410852372e-63,1.5096236114629298e-63
238.0,8.202508072243203e-64,1.4795790497362278e-63,1.5152502524130034e-63
239.0,8.252776336856619e-64,1.4771649173017405e-63,1.5090190301325505e-63
240.0,8.188107542794108e-64,1.4446819290187593e-63,1.4857674623572107e-63
241.0,8.37954743013085e-64,1.485529171488679e-63,1.5153425633223158e-63
242.0,8.485761353148004e-64,1.4818534739215953e-63,1.505649995454845e-63
243.0,8.508708400346151e-64,1.5017236182631455e-63,1.5121854712342956e-63
244.0,8.642829163676929e-64,1.5128772850854067e-63,1.5233885609702094e-63
245.0,8.718670014242969e-64,1.5170318481088442e-63,1.5246080720241813e-63
246.0,8.768433786432105e-64,1.5353374186909071e-63,1.5352849126677211e-63
247.0,8.850933846099564e-64,1.504765532633342e-63,1.5175436146515686e-63
248.0,9.273313485169524e-64,1.5539011729541026e-63,1.558550651589676e-63
249.0,9.361271790067375e-64,1.5401802571640732e-63,1.5522145468924725e-63
250.0,9.399146345538696e-64,1.5773292057822295e-63,1.5876141224228954e-63
251.0,9.536942309403973e-64,1.5709095601360286e-63,1.575384984537089e-63
252.0,9.843745686975715e-64,1.6093081105418728e-63,1.6057525188960697e-63
253.0,9.721471902930394e-64,1.5793410015440967e-63,1.5858512971833593e-63
254.0,9.974208798810146e-64,1.6150301166393023e-63,1.6128504166702942e-63
255.0,9.822251074251045e-64,1.617618659706745e-63,1.6196812730933007e-63
256.0,9.107891152159129e-64,1.5324904368356936e-63,1.5559076377690946e-63
257.0,8.578567734195779e-64,1.474165050102227e-63,1.500645324239151e-63
