tau,correlation,mean_initial,mean_evolved,variance_initial,variance_evolved,retained_fraction
0.03537392938471095,0.10908982328554724,0.045800463997512524,0.0439390019355978,18.450130340001454,18.37897446806123,1.0
0.03655306036420131,0.0972499639277329,0.045800463997512524,0.043310082384275916,18.450130340001454,18.39785306461368,1.0
0.03773219134369168,0.08637804747434437,0.045800463997512524,0.04243260336743617,18.450130340001454,18.40517605787969,1.0
0.03891132232318204,0.07646923091228607,0.045800463997512524,0.0412949066730926,18.450130340001454,18.40876566647037,1.0
0.040090453302672406,0.06750664305091589,0.045800463997512524,0.03980225896047024,18.450130340001454,18.40437506166231,1.0
0.04126958428216277,0.05940678826812821,0.045800463997512524,0.03839364513456565,18.450130340001454,18.37957218662578,1.0
0.042448715261653135,0.05211071204584955,0.045800463997512524,0.03731460076877083,18.450130340001454,18.37383807880943,1.0
0.0436278462411435,0.045504648523540525,0.045800463997512524,0.03641327611774717,18.450130340001454,18.39978966802045,1.0
0.04480697722063387,0.03961071924299858,0.045800463997512524,0.035722340658551316,18.450130340001454,18.42445971351681,1.0
0.045986108200124234,0.03437364807739626,0.045800463997512524,0.03590458654367193,18.450130340001454,18.382073381249356,1.0
0.0471652391796146,0.029616945830157605,0.045800463997512524,0.0365840759998577,18.450130340001454,18.35479629846897,1.0
0.04834437015910496,0.025352212666912937,0.045800463997512524,0.03774552930283727,18.450130340001454,18.331956666090633,1.0
0.04952350113859533,0.021505424067063426,0.045800463997512524,0.03929055007154182,18.450130340001454,18.305527746565826,1.0
0.05070263211808569,0.01807873596006271,0.045800463997512524,0.04100690761064598,18.450130340001454,18.272594913430147,1.0
0.051881763097576056,0.015035134586320565,0.045800463997512524,0.04245209535855257,18.450130340001454,18.262237124676595,1.0
0.05306089407706642,0.01240029512360803,0.045800463997512524,0.043871623118387965,18.450130340001454,18.272771293756634,1.0
0.054240025056556784,0.010104061372400547,0.045800463997512524,0.04508972066594287,18.450130340001454,18.287332314324548,1.0
0.05541915603604715,0.008113937363747761,0.045800463997512524,0.046011142325259595,18.450130340001454,18.283868449025295,1.0
0.05659828701553751,0.006331254123196148,0.045800463997512524,0.04649880088316421,18.450130340001454,18.28415242832378,1.0
0.057777417995027884,0.004725355092535577,0.045800463997512524,0.04659717145366483,18.450130340001454,18.267595811790997,1.0
0.05895654897451825,0.0032375725296854515,0.045800463997512524,0.046393997659143836,18.450130340001454,18.258306538991672,1.0
0.06013567995400861,0.0019391497009334042,0.045800463997512524,0.04616592845633517,18.450130340001454,18.242016667838275,1.0
0.06131481093349898,0.0007514459093968436,0.045800463997512524,0.04614886581928432,18.450130340001454,18.253257447557573,1.0
0.06249394191298934,-0.00025926898093921104,0.045800463997512524,0.045918993147760136,18.450130340001454,18.253718954765905,1.0
0.06367307289247971,-0.0010722802101077508,0.045800463997512524,0.04563774736037301,18.450130340001454,18.259357383621378,1.0
0.06485220387197008,-0.0017505540282151384,0.045800463997512524,0.04532654085925588,18.450130340001454,18.239524337120056,1.0
0.06603133485146044,-0.0023665847952160425,0.045800463997512524,0.045404495754801474,18.450130340001454,18.23011488888745,1.0
0.0672104658309508,-0.0028948686240895766,0.045800463997512524,0.04524399197473078,18.450130340001454,18.241571327082774,1.0
0.06838959681044117,-0.0033998583199730758,0.045800463997512524,0.044921757910413446,18.450130340001454,18.212166083893468,1.0
0.06956872778993153,-0.0038262209713263136,0.045800463997512524,0.04454252271023097,18.450130340001454,18.20549723432098,1.0
0.0707478587694219,-0.004190154822573797,0.045800463997512524,0.04396562083133314,18.450130340001454,18.196749642484004,1.0
0.07192698974891226,-0.004403157689747061,0.045800463997512524,0.04295835663984736,18.450130340001454,18.195236730245277,1.0
0.07310612072840263,-0.004490114597366509,0.045800463997512524,0.041823112502083024,18.450130340001454,18.168038901218246,1.0
0.07428525170789299,-0.004497415498820913,0.045800463997512524,0.04078474221476834,18.450130340001454,18.138919144176793,1.0
0.07546438268738336,-0.00445457007038205,0.045800463997512524,0.03993016171090424,18.450130340001454,18.120183712588407,1.0
0.07664351366687372,-0.0043353595390734755,0.045800463997512524,0.038960102068954956,18.450130340001454,18.102567798190098,1.0
0.07782264464636408,-0.004184068399418194,0.045800463997512524,0.03825652850533468,18.450130340001454,18.12547672653829,1.0
0.07900177562585445,-0.003991278665047296,0.045800463997512524,0.037572263078800176,18.450130340001454,18.14241038222088,1.0
0.08018090660534481,-0.0037268897700946826,0.045800463997512524,0.036906660354438174,18.450130340001454,18.140834844574403,1.0
0.08136003758483518,-0.0034412097609334484,0.045800463997512524,0.036372254599776166,18.450130340001454,18.151447556229286,1.0
0.08253916856432554,-0.003116891809290734,0.045800463997512524,0.036140349371395174,18.450130340001454,18.184103966365758,1.0
0.0837182995438159,-0.0028096743162747137,0.045800463997512524,0.03576822299634118,18.450130340001454,18.15707806002264,1.0
0.08489743052330627,-0.0024735181303457534,0.045800463997512524,0.03541025079992915,18.450130340001454,18.155790807074396,1.0
